StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,age,gender,Latino,race,income,education,pid1,piddem,pidrep,pidlean,ideology,negparty_dem,negparty_rep,GID1,GID2,GID3,White1,White2,White3,White4,White5,PSIR1,PSIR2,PSIR3,PSIR4,PSID1,PSID2,PSID3,PSID4,PSII1,PSII2,PSII3,PSII4,RR1,RR2,RR3,RR4,sex1,sex2,sex3,sex4,SDO1,SDO2,SDO3,SDO4,SDO5,SDO6,SDO7,SDO8,SJ1,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,uncivil_1,PANAS_1_1,PANAS_1_2,PANAS_1_3,PANAS_1_4,PANAS_1_5,PANAS_1_6,news_1,uncivil_2,PANAS_2_1,PANAS_2_2,PANAS_2_3,PANAS_2_4,PANAS_2_5,PANAS_2_6,news_2,uncivil_3,PANAS_3_1,PANAS_3_2,PANAS_3_3,PANAS_3_4,PANAS_3_5,PANAS_3_6,news_3,uncivil_4,PANAS_4_1,PANAS_4_2,PANAS_4_3,PANAS_4_4,PANAS_4_5,PANAS_4_6,news_4,uncivil_5,PANAS_5_1,PANAS_5_2,PANAS_5_3,PANAS_5_4,PANAS_5_5,PANAS_5_6,news_5,uncivil_6,PANAS_6_1,PANAS_6_2,PANAS_6_3,PANAS_6_4,PANAS_6_5,PANAS_6_6,news_6,RESPONDENT_ID,GID,SParty_1,TParty_1,SGender_1,SRace_1,TGender_1,TRace_1,SF_1,SL_1,TF_1,TL_1,SJob_1,TJob_1,Incivility_1,Police_1,SParty_2,TParty_2,SGender_2,SRace_2,TGender_2,TRace_2,SF_2,SL_2,TF_2,TL_2,SJob_2,TJob_2,Incivility_2,Police_2,SParty_3,TParty_3,SGender_3,SRace_3,TGender_3,TRace_3,SF_3,SL_3,TF_3,TL_3,SJob_3,TJob_3,Incivility_3,Police_3,SParty_4,TParty_4,SGender_4,SRace_4,TGender_4,TRace_4,SF_4,SL_4,TF_4,TL_4,SJob_4,TJob_4,Incivility_4,Police_4,SParty_5,TParty_5,SGender_5,SRace_5,TGender_5,TRace_5,SF_5,SL_5,TF_5,TL_5,SJob_5,TJob_5,Incivility_5,Police_5,SParty_6,TParty_6,SGender_6,SRace_6,TGender_6,TRace_6,SF_6,SL_6,TF_6,TL_6,SJob_6,TJob_6,Incivility_6,Police_6
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,1,1,10/1/2019 12:54,R_1Ibe8eFUzu8FGJf,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,1,Porttitor faucibus faucibus imperdiet ultricies est? Eget? Convallis magna dictumst lacus. Mauris sapien arcu porta.,3,2,457,2,2,2,NA,1,NA,7,23,66,NA,NA,NA,2,4,2,1,4,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,5,4,3,1,2,1,2,5,2,5,2,1,2,3,2,2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,4,6,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,1,2,6,4,5,4,2,6,1,5,2,2,4,1,1,5,6,5,4,5,2,1,NA,Republican,Republican,Female,White,Female,White,Sarah,Becker,Molly,Hartman,Representative,Representative,an 'asshole',Recent Townhall Meeting Turns Uncivil,Democratic,Republican,Male,White,Female,White,Brett,Hartman,Claire,Larsen,nurse,pharmacist,an 'idiot',Details From Recent Townhall Meeting,Democratic,Democratic,Male,Black,Male,White,Kareem,Jefferson,Connor,Walsh,judge,software engineer,an 'idiot',Details From Recent Townhall Meeting,Democratic,Republican,Female,Black,Male,White,Tionna,Booker,Matthew,Decker,bus driver,Representative,an 'asshole',Details From Recent Townhall Meeting,Republican,Democratic,Female,White,Male,White,Hilary,Meyer,Matthew,Andersen,judge,Representative,an 'asshole',Recent Townhall Meeting Turns Uncivil,Democratic,Republican,Male,White,Male,Black,Matthew,Meyer,DeShawn,Jackson,pharmacist,Representative,a 'N word',Recent Townhall Meeting Turns Uncivil
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,2,1,10/1/2019 12:54,R_3DGvrFOZz3aXILr,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,2,Rutrum amet volutpat! Lacus. Suscipit velit vivamus lectus vestibulum fermentum? Ante sagittis potenti. Bibendum maecenas.,2,1,347,4,6,3,NA,NA,3,5,61,97,3,1,2,1,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,5,1,2,4,2,3,3,1,3,2,4,5,1,5,5,4,5,4,3,1,1,1,2,2,2,5,2,4,2,2,2,1,4,5,5,2,5,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,5,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,woman,Democratic,Republican,Male,White,Female,Black,Ryan,Hartman,Denisha,Washington,Representative,plumber,going to be 'dealt with',Details From Recent Townhall Meeting,Republican,Democratic,Female,Black,Female,Black,Janae,Jefferson,Latoya,Booker,Representative,teacher,a 'bastard',Details From Recent Townhall Meeting,Democratic,Democratic,Male,Black,Female,White,Tremayne,Jefferson,Susan,Meyer,software engineer,software engineer,a 'bitch',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Female,White,Female,Black,Claire,Walsh,Heaven,Jefferson,architect,Representative,going to get punched,Recent Townhall Meeting Turns Uncivil,Democratic,Democratic,Male,White,Female,White,Neil,Hartman,Amy,Becker,accountant,Representative,an 'idiot',Recent Townhall Meeting Turns Uncivil,Democratic,Democratic,Male,White,Female,White,Dustin,Andersen,Katelyn,Decker,judge,software engineer,going to get 'hurt by someone',Details From Recent Townhall Meeting
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,1,1,10/1/2019 12:54,R_cTrig19UbwatXed,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,1,Montes rutrum ac? Phasellus. Atque platea mattis metus! Mattis nullam potenti.,1,1,23567,4,3,2,NA,2,NA,6,63,71,1,1,2,3,4,5,1,1,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,2,5,2,1,5,5,3,3,1,3,4,2,2,3,4,3,3,3,3,1,3,1,5,1,6,1,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,2,4,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,2,man,Democratic,Republican,Male,White,Male,White,Matthew,Becker,Ryan,Meyer,teacher,professional chef,an 'asshole',Details From Recent Townhall Meeting,Democratic,Democratic,Male,White,Male,Black,Matthew,McGrath,Keyshawn,Jackson,bus driver,teacher,going to be 'dealt with',Recent Townhall Meeting Turns Uncivil,Republican,Republican,Male,White,Male,Black,Steven,Decker,Latrell,Washington,Representative,accountant,a 'bitch',Recent Townhall Meeting Turns Uncivil,Democratic,Democratic,Female,White,Female,Black,Sarah,Decker,Tyra,Jackson,plumber,Representative,a 'N word',Details From Recent Townhall Meeting,Republican,Democratic,Female,White,Female,White,Molly,McGrath,Laurie,Meyer,Representative,bus driver,a 'moron',Details From Recent Townhall Meeting,Democratic,Democratic,Female,Black,Male,White,Shanice,Washington,Hunter,McGrath,bus driver,professional chef,a 'prick',Recent Townhall Meeting Turns Uncivil
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,1,1,10/1/2019 12:54,R_9AczWp4R3Ti7AFf,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,2,Odio. Convallis amet laoreet sem sed curabitur luctus integer? Interdum ab sodales.,3,2,134,1,3,3,NA,NA,1,3,83,92,NA,NA,NA,2,4,4,3,1,NA,NA,NA,NA,4,1,5,4,NA,NA,NA,NA,4,1,3,4,2,4,2,2,2,1,1,1,4,2,1,3,5,1,3,1,2,1,4,2,5,1,2,5,5,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,4,4,2,2,1,NA,Democratic,Republican,Female,Black,Male,White,Lakisha,Jefferson,Dustin,Walsh,Representative,Representative,a 'cracker',Recent Townhall Meeting Turns Uncivil,Republican,Republican,Male,White,Female,White,Ryan,Nielsen,Molly,Meyer,software engineer,Representative,going to get 'hurt by someone',Recent Townhall Meeting Turns Uncivil,Democratic,Democratic,Male,White,Female,Black,Hunter,Larsen,Taniya,Jackson,Representative,architect,a 'N word',Details From Recent Townhall Meeting,Republican,Republican,Male,White,Male,White,Ethan,Andersen,Zachary,Nielsen,architect,accountant,going to get 'hurt by someone',Recent Townhall Meeting Turns Uncivil,Republican,Republican,Male,White,Male,Black,Scott,Andersen,D'Andre,Banks,architect,Representative,a 'bitch',Details From Recent Townhall Meeting,Democratic,Republican,Female,Black,Male,Black,Aisha,Mosley,Jayvon,Washington,Representative,teacher,a 'N word',Details From Recent Townhall Meeting
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,1,1,10/1/2019 12:54,R_0ppyEShllidZY69,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,2,Sodales placerat convallis fringilla arcu diam ut non tempus natoque.,3,2,1234567,5,1,2,NA,1,NA,4,65,24,NA,NA,NA,1,2,2,2,2,3,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,2,5,4,1,3,3,5,5,2,1,2,2,1,4,3,1,4,1,1,3,2,1,4,4,4,5,4,5,1,5,4,1,4,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,4,4,4,4,2,2,5,6,1,6,2,2,4,5,4,1,4,4,5,1,1,NA,Republican,Democratic,Male,White,Female,White,Luke,McGrath,Claire,Larsen,nurse,nurse,an 'idiot',Details From Recent Townhall Meeting,Democratic,Republican,Female,White,Female,Black,Sarah,Larsen,Ebony,Mosley,bus driver,judge,a 'cunt',Recent Townhall Meeting Turns Uncivil,Democratic,Democratic,Male,White,Male,Black,Steven,Decker,Darius,Washington,Representative,nurse,a 'prick',Details From Recent Townhall Meeting,Democratic,Republican,Female,White,Male,White,Abigail,Decker,Seth,Meyer,Representative,software engineer,a 'moron',Recent Townhall Meeting Turns Uncivil,Democratic,Republican,Female,White,Male,Black,Laurie,Larsen,Darnell,Banks,pharmacist,nurse,a 'lunatic',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Male,Black,Male,Black,Kareem,Mosley,D'Andre,Mosley,accountant,Representative,a 'prick',Recent Townhall Meeting Turns Uncivil
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,1,1,10/1/2019 12:54,R_06ew5nt7sULXqEB,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,1,Dui elementum mi! Elit phasellus etiam pretium ante eleifend ante fringilla faucibus.,1,2,1237,2,6,1,2,NA,NA,4,83,95,1,4,3,2,5,1,2,3,NA,NA,NA,NA,5,1,1,1,NA,NA,NA,NA,1,2,1,4,5,2,2,1,5,1,4,2,5,5,3,4,4,1,4,5,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,1,2,4,3,3,2,2,1,5,6,6,1,5,2,1,1,5,1,1,2,4,5,5,2,4,2,6,2,1,man,Republican,Republican,Male,Black,Male,White,Denzel,Washington,Luke,Becker,bus driver,software engineer,a 'shit head',Recent Townhall Meeting Turns Uncivil,Democratic,Democratic,Female,White,Male,White,Katelyn,Decker,Matthew,Meyer,plumber,teacher,a 'lunatic',Details From Recent Townhall Meeting,Democratic,Republican,Male,Black,Male,Black,Keyshawn,Jefferson,Keyshawn,Mosley,Representative,plumber,a 'lunatic',Details From Recent Townhall Meeting,Democratic,Republican,Male,White,Female,Black,Connor,Larsen,Heaven,Jefferson,Representative,Representative,a 'cunt',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Female,Black,Male,Black,Tyra,Jackson,Rasheed,Jefferson,judge,Representative,a 'N word',Details From Recent Townhall Meeting,Democratic,Republican,Male,White,Male,White,Connor,Becker,Zachary,Walsh,Representative,bus driver,going to get 'roughed up' by the crowd,Recent Townhall Meeting Turns Uncivil
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,2,1,10/1/2019 12:54,R_82ZzAxjhkQLwy9L,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,1,Dui ligula potenti sapien! Neque pretium ligula consequat lectus donec nulla. Facilisi egestas! Morbi.,3,1,26,1,2,2,NA,2,NA,7,42,14,NA,NA,NA,1,2,3,3,1,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,4,2,5,4,4,4,1,1,1,2,4,5,3,5,3,1,2,2,3,2,2,4,6,4,2,2,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,5,5,1,4,1,1,5,6,1,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,4,4,4,1,1,2,NA,Democratic,Republican,Male,White,Female,White,Connor,Decker,Susan,Decker,plumber,Representative,a 'bitch',Recent Townhall Meeting Turns Uncivil,Republican,Republican,Female,Black,Female,White,Latonya,Banks,Molly,Walsh,Representative,plumber,a 'bastard',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Male,White,Female,White,Brett,Nielsen,Claire,McGrath,Representative,Representative,an 'idiot',Recent Townhall Meeting Turns Uncivil,Democratic,Republican,Female,White,Male,Black,Katelyn,Nielsen,Darius,Mosley,Representative,architect,a 'bastard',Recent Townhall Meeting Turns Uncivil,Republican,Republican,Female,White,Male,White,Kristen,Meyer,Luke,Larsen,plumber,Representative,an 'asshole',Recent Townhall Meeting Turns Uncivil,Democratic,Republican,Male,Black,Male,White,DaQuan,Washington,Seth,Larsen,Representative,Representative,going to be 'dealt with',Details From Recent Townhall Meeting
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,1,1,10/1/2019 12:54,R_d5YF5Oh8MNpP5Zz,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,1,"Neque leo, sollicitudin mattis consectetuer sem in eget dictumst odio! Fringilla.",2,2,1234567,4,2,2,NA,1,NA,2,71,18,4,2,1,2,4,3,1,3,4,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,5,4,4,2,4,4,1,5,2,3,2,5,5,3,2,5,2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,1,2,1,4,1,4,6,4,6,5,6,2,2,1,1,1,6,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,woman,Republican,Republican,Female,White,Male,Black,Margaret,Andersen,DeShawn,Booker,Representative,Representative,going to be 'dealt with',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Male,Black,Female,Black,Jamal,Banks,Tionna,Jackson,Representative,accountant,a 'shit head',Details From Recent Townhall Meeting,Democratic,Republican,Male,Black,Male,Black,DeAndre,Jackson,D'Andre,Jefferson,architect,Representative,a 'prick',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Female,White,Female,White,Hilary,Hartman,Megan,Becker,nurse,architect,going to get 'roughed up' by the crowd,Details From Recent Townhall Meeting,Republican,Republican,Male,White,Male,Black,Todd,Nielsen,Tyrone,Washington,judge,bus driver,a 'moron',Recent Townhall Meeting Turns Uncivil,Democratic,Democratic,Male,Black,Male,Black,Darius,Washington,Keyshawn,Washington,Representative,professional chef,a 'shit head',Details From Recent Townhall Meeting
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,2,1,10/1/2019 12:54,R_86XSCgla7iRASCp,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,1,"Bibendum quis etiam commodo, bibendum. Primis consequat. Bibendum et dolorem dignissim mauris? Nulla! Culpa atque.",2,1,457,1,1,1,2,NA,NA,1,92,72,4,4,1,3,3,4,5,3,NA,NA,NA,NA,1,5,1,1,NA,NA,NA,NA,1,4,3,4,5,3,4,2,5,2,4,1,1,1,5,3,2,4,1,5,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,2,6,2,2,5,5,4,4,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,5,6,1,2,1,4,1,1,2,woman,Democratic,Democratic,Female,Black,Female,Black,Latonya,Mosley,Taniya,Banks,Representative,software engineer,an 'idiot',Recent Townhall Meeting Turns Uncivil,Democratic,Democratic,Male,Black,Female,White,DeAndre,Banks,Katelyn,McGrath,Representative,Representative,a 'cracker',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Male,White,Male,White,Zachary,McGrath,Ryan,Nielsen,Representative,Representative,an 'idiot',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Male,Black,Female,White,Darnell,Jefferson,Margaret,Hartman,plumber,professional chef,a 'shit head',Details From Recent Townhall Meeting,Democratic,Democratic,Male,White,Male,Black,Hunter,Hartman,DeAndre,Jefferson,architect,Representative,a 'prick',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Female,Black,Male,White,Lakisha,Jefferson,Ethan,Walsh,Representative,architect,a 'cracker',Details From Recent Townhall Meeting
10/1/2019 12:54,10/1/2019 12:54,2,NA,100,1,1,10/1/2019 12:54,R_4SFNEhvTsEhHNo9,NA,NA,NA,NA,42.05979919,-87.68419647,test,NA,2,Ab bibendum velit aliquam atque scelerisque montes cursus magnis sed metus neque? Porttitor justo.,1,2,1234567,3,5,1,2,NA,NA,2,39,24,3,1,4,4,2,5,2,4,NA,NA,NA,NA,3,2,1,2,NA,NA,NA,NA,3,3,4,4,5,3,5,1,3,1,3,4,1,3,3,3,3,5,3,3,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,6,6,1,4,5,1,5,6,5,6,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,man,Republican,Republican,Male,Black,Male,White,Denzel,Banks,Brett,Nielsen,nurse,Representative,going to get 'hurt by someone',Recent Townhall Meeting Turns Uncivil,Republican,Democratic,Male,White,Female,Black,Dustin,McGrath,Taniya,Jackson,professional chef,Representative,going to be 'dealt with',Recent Townhall Meeting Turns Uncivil,Democratic,Republican,Female,White,Male,Black,Laurie,McGrath,DeAndre,Booker,Representative,Representative,a 'lunatic',Details From Recent Townhall Meeting,Democratic,Democratic,Male,White,Female,Black,Neil,McGrath,Ashanti,Jefferson,Representative,judge,a 'N word',Details From Recent Townhall Meeting,Republican,Republican,Female,White,Male,Black,Megan,Hartman,DeShawn,Washington,Representative,Representative,going to get punched,Details From Recent Townhall Meeting,Republican,Republican,Male,White,Male,White,Luke,Andersen,Dustin,Decker,teacher,Representative,going to get 'roughed up' by the crowd,Details From Recent Townhall Meeting
